lic_cd,lic_nm,co_lic_cd,co_lic_nm,co_cnt
33723,사회복지사2급,9908,간호조무사,2568
9949,영양사,9958,위생사,2551
25283,화물운송종사,31908,버스운전자격,2550
10682,정보처리기사,9953,워드프로세서1급,2544
17069,사회복지사2급,9908,간호조무사,2512
23346,정보기술자격(ITQ)한글파워포인트 B등급,26812,정보기술자격(ITQ) 아래한글 A등급,2487
24017,정보기술자격(ITQ)한글엑셀 B등급,26812,정보기술자격(ITQ) 아래한글 A등급,2482
10682,정보처리기사,14567,리눅스마스터2급,2470
10682,정보처리기사,10949,네트워크관리사2급,2466
10378,특수용접기능사,24233,용접기능사,2457
10278,양식조리기능사,10302,일식조리기능사,2444
21078,요양보호사1급,9908,간호조무사,2426
10502,건설안전기사,10579,산업안전기사,2415
17069,사회복지사2급,18184,보육교사2급,2403
10278,양식조리기능사,10335,제빵기능사,2398
10133,컴퓨터활용능력2급,17253,정보기술자격(ITQ) 한글파워포인트,2393
11033,전산회계1급 (국가공인),27193,ERP 회계 정보관리사 2급 (국가공인),2387
10132,컴퓨터활용능력1급,27288,한국사능력검정시험 2급,2387
10349,지게차운전기능사,21565,로더운전기능사,2366
10104,전산회계운용사3급,25804,정보기술자격(ITQ)한글엑셀 A등급,2365
27705,ITQ Master (한글),27706,ITQ Master (파워포인트),2363
10333,제과기능사,10390,한식조리기능사,2330
10682,정보처리기사,35054,데이터분석준전문가(ADsP),2329
17266,유통관리사2급,9926,물류관리사,2326
27193,ERP 회계 정보관리사 2급 (국가공인),27499,ERP 인사 정보관리사 2급(국가공인),2314
10616,식품기사,9958,위생사,2306
11033,전산회계1급 (국가공인),14555,회계관리2급(국가공인),2289
11028,전산세무2급 (국가공인),27287,한국사능력검정시험 1급,2278
11034,전산회계2급 (국가공인),27499,ERP 인사 정보관리사 2급(국가공인),2277
21625,정보기술자격(ITQ)인터넷 A등급,26812,정보기술자격(ITQ) 아래한글 A등급,2272
10132,컴퓨터활용능력1급,10579,산업안전기사,2268
11028,전산세무2급 (국가공인),27499,ERP 인사 정보관리사 2급(국가공인),2249
25805,정보기술자격(ITQ)한글파워포인트 A등급,9953,워드프로세서1급,2249
10949,네트워크관리사2급,14567,리눅스마스터2급,2248
10071,웹디자인기능사,23440,GTQ포토샵1급,2241
10132,컴퓨터활용능력1급,35054,데이터분석준전문가(ADsP),2235
10579,산업안전기사,10606,수질환경기사,2232
10349,지게차운전기능사,21256,소방안전관리자2급,2231
10079,위험물산업기사,10547,대기환경기사,2226
11033,전산회계1급 (국가공인),14047,기업회계3급,2219
10483,산업안전산업기사,10539,기계정비산업기사,2205
10330,정보처리기능사,11033,전산회계1급 (국가공인),2196
27705,ITQ Master (한글),27707,ITQ Master (엑셀),2193
26812,정보기술자격(ITQ) 아래한글 A등급,9908,간호조무사,2175
17220,정보기술자격(ITQ) 아래한글,17299,정보기술자격(ITQ) 한글엑셀,2174
10579,산업안전기사,10662,전기기사,2170
26812,정보기술자격(ITQ) 아래한글 A등급,33241,회계정보처리(FAT)1급 (국가공인),2168
10349,지게차운전기능사,17698,중장비운전기능사(굴삭기),2145
11028,전산세무2급 (국가공인),25805,정보기술자격(ITQ)한글파워포인트 A등급,2137
10133,컴퓨터활용능력2급,35862,재경관리사 (국가공인),2129
23655,위생사면허증,9949,영양사,2129
25804,정보기술자격(ITQ)한글엑셀 A등급,9953,워드프로세서1급,2125
10278,양식조리기능사,10333,제과기능사,2108
10662,전기기사,21238,전기기능사,2060
10133,컴퓨터활용능력2급,14039,ERP 정보관리사 회계2급,2052
18184,보육교사2급,33723,사회복지사2급,2025
10571,사무자동화산업기사,11033,전산회계1급 (국가공인),2019
10329,정보기기운용기능사,11033,전산회계1급 (국가공인),1998
10104,전산회계운용사3급,25805,정보기술자격(ITQ)한글파워포인트 A등급,1990
10349,지게차운전기능사,9953,워드프로세서1급,1986
11027,전산세무1급 (국가공인),11033,전산회계1급 (국가공인),1978
10132,컴퓨터활용능력1급,10133,컴퓨터활용능력2급,1970
10594,소방설비기사(전기분야),10659,전기공사기사,1968
10134,컴퓨터활용능력3급,10330,정보처리기능사,1940
10579,산업안전기사,27287,한국사능력검정시험 1급,1939
10133,컴퓨터활용능력2급,17299,정보기술자격(ITQ) 한글엑셀,1927
10316,전산응용기계제도기능사,21759,컴퓨터응용밀링기능사,1925
9908,간호조무사,9954,워드프로세서2급,1908
10133,컴퓨터활용능력2급,21238,전기기능사,1902
11034,전산회계2급 (국가공인),31901,워드프로세서 단일등급,1877
10132,컴퓨터활용능력1급,31901,워드프로세서 단일등급,1877
26722,병원코디네이터,9908,간호조무사,1876
26812,정보기술자격(ITQ) 아래한글 A등급,9954,워드프로세서2급,1865
10662,전기기사,10663,전기산업기사,1863
10302,일식조리기능사,10348,중식조리기능사,1863
10662,전기기사,27287,한국사능력검정시험 1급,1862
10349,지게차운전기능사,21219,컴퓨터응용선반기능사,1856
10320,전자기기기능사,21238,전기기능사,1850
27499,ERP 인사 정보관리사 2급(국가공인),28380,ERP 물류정보관리사 2급,1841
10104,전산회계운용사3급,9953,워드프로세서1급,1836
25804,정보기술자격(ITQ)한글엑셀 A등급,33241,회계정보처리(FAT)1급 (국가공인),1834
10103,전산회계운용사2급,11033,전산회계1급 (국가공인),1832
10483,산업안전산업기사,21238,전기기능사,1828
10133,컴퓨터활용능력2급,10488,직업상담사2급,1827
21256,소방안전관리자2급,23637,위험물안전관리자,1813
10483,산업안전산업기사,21118,위험물기능사,1809
10316,전산응용기계제도기능사,21219,컴퓨터응용선반기능사,1804
10134,컴퓨터활용능력3급,9953,워드프로세서1급,1801
26812,정보기술자격(ITQ) 아래한글 A등급,27499,ERP 인사 정보관리사 2급(국가공인),1795
10133,컴퓨터활용능력2급,10390,한식조리기능사,1793
10133,컴퓨터활용능력2급,33723,사회복지사2급,1793
10881,병원행정사,36016,건강보험사,1780
11034,전산회계2급 (국가공인),9954,워드프로세서2급,1776
10571,사무자동화산업기사,10682,정보처리기사,1775
18175,유치원정교사2급,18184,보육교사2급,1774
10133,컴퓨터활용능력2급,27193,ERP 회계 정보관리사 2급 (국가공인),1770
23440,GTQ포토샵1급,25805,정보기술자격(ITQ)한글파워포인트 A등급,1770
10370,컴퓨터그래픽스운용기능사,30370,GTQ일러스트 1급,1769
10192,공조냉동기계기능사,10626,에너지관리기능사,1767
11028,전산세무2급 (국가공인),32689,회계정보처리(FAT) 1급,1751
10330,정보처리기능사,26812,정보기술자격(ITQ) 아래한글 A등급,1745
17269,미용사(피부),9908,간호조무사,1731
10132,컴퓨터활용능력1급,28267,SQL개발자(SQLD자격),1729
23041,정보기술자격(ITQ)엑셀A등급,26812,정보기술자격(ITQ) 아래한글 A등급,1727
10014,무역영어1급,10133,컴퓨터활용능력2급,1727
18184,보육교사2급,9908,간호조무사,1724
11033,전산회계1급 (국가공인),26756,ERP 회계 정보관리사 1급 (국가공인),1724
11027,전산세무1급 (국가공인),11028,전산세무2급 (국가공인),1723
10682,정보처리기사,27287,한국사능력검정시험 1급,1715
10349,지게차운전기능사,29593,건설기계조종사면허증(3톤이상지게차),1713
27499,ERP 인사 정보관리사 2급(국가공인),33241,회계정보처리(FAT)1급 (국가공인),1707
21565,로더운전기능사,25014,굴착기운전기능사,1705
11033,전산회계1급 (국가공인),28380,ERP 물류정보관리사 2급,1702
10278,양식조리기능사,9949,영양사,1701
10171,가스기능사,10626,에너지관리기능사,1698
23440,GTQ포토샵1급,25804,정보기술자격(ITQ)한글엑셀 A등급,1690
24017,정보기술자격(ITQ)한글엑셀 B등급,25805,정보기술자격(ITQ)한글파워포인트 A등급,1690
11033,전산회계1급 (국가공인),14037,MOS Master,1689
10133,컴퓨터활용능력2급,33409,그래픽기술자격(GTQ) 1급,1675
10320,전자기기기능사,10349,지게차운전기능사,1674
11034,전산회계2급 (국가공인),33240,회계정보처리(FAT)2급 (국가공인),1670
10132,컴퓨터활용능력1급,35862,재경관리사 (국가공인),1661
10079,위험물산업기사,10132,컴퓨터활용능력1급,1657
10133,컴퓨터활용능력2급,9949,영양사,1654
10682,정보처리기사,10683,정보처리산업기사,1642
10104,전산회계운용사3급,10329,정보기기운용기능사,1639
14548,요양보호사,33723,사회복지사2급,1637
10103,전산회계운용사2급,10133,컴퓨터활용능력2급,1636
10349,지게차운전기능사,10378,특수용접기능사,1633
14037,MOS Master,9953,워드프로세서1급,1626
10133,컴퓨터활용능력2급,28380,ERP 물류정보관리사 2급,1624
21238,전기기능사,21256,소방안전관리자2급,1620
10132,컴퓨터활용능력1급,10482,사회조사분석사2급,1617
10349,지게차운전기능사,10539,기계정비산업기사,1615
11034,전산회계2급 (국가공인),17253,정보기술자격(ITQ) 한글파워포인트,1610
27287,한국사능력검정시험 1급,31901,워드프로세서 단일등급,1603
10349,지게차운전기능사,31908,버스운전자격,1600
27097,ERP생산정보관리사 2급,27499,ERP 인사 정보관리사 2급(국가공인),1597
11034,전산회계2급 (국가공인),14047,기업회계3급,1596
11034,전산회계2급 (국가공인),14039,ERP 정보관리사 회계2급,1585
10483,산업안전산업기사,10579,산업안전기사,1585
11028,전산세무2급 (국가공인),31901,워드프로세서 단일등급,1573
10482,사회조사분석사2급,35054,데이터분석준전문가(ADsP),1569
10370,컴퓨터그래픽스운용기능사,26812,정보기술자격(ITQ) 아래한글 A등급,1568
26812,정보기술자격(ITQ) 아래한글 A등급,31901,워드프로세서 단일등급,1568
10133,컴퓨터활용능력2급,33238,세무정보처리(TAT)2급 (국가공인),1561
11034,전산회계2급 (국가공인),17299,정보기술자격(ITQ) 한글엑셀,1554
10133,컴퓨터활용능력2급,27289,한국사능력검정시험 3급,1551
